Temperature(kK), Pressure(GPa), eta
0.29987856077165964, 0.7619444155303654, 0.005
0.30001596058429625, 1.71203289268243, 0.01
0.30015336039693286, 2.6621213698345088, 0.015
0.2989917074355506, 3.7204642448214997, 0.02
0.2990833073106417, 4.353856562922886, 0.025
0.2979521876409563, 5.623330210610348, 0.03
0.2994191735193089, 6.676295062627972, 0.035
0.29960237326949113, 7.943079698830729, 0.04
0.29972450643627924, 8.787602789632587, 0.045
0.29990770618646145, 10.054387425835358, 0.05
0.30009090593664356, 11.321172062038102, 0.055
0.3002741056868258, 12.587956698240873, 0.06
0.2991429860171404, 13.857430345928336, 0.065
0.3006252385413415, 15.015960584296181, 0.07
0.2994941188716562, 16.285434231983643, 0.075
0.29972311855938394, 17.868915027237094, 0.08
0.29995211824711165, 19.45239582249056, 0.085
0.30015058464314226, 20.824745845043566, 0.09
0.30036431768502136, 22.30266125394681, 0.095
0.3006085840185976, 23.99170743555048, 0.10
0.29953853093230665, 25.683442628638844, 0.105
0.29978279726588253, 27.372488810242544, 0.11
0.30005759689115585, 29.2726657645467, 0.115
0.30028659657888357, 30.856146559800166, 0.12
0.3005461295583083, 32.650758127754074, 0.125
0.2995218764095626, 34.65918947989314, 0.13
0.29979667603483595, 36.5593664341973, 0.135
0.30008674230595767, 38.56510877485168, 0.14
0.3003920752229279, 40.676416501856295, 0.145
0.3006974081398982, 42.78772422886091, 0.15
0.29967315499115244, 44.796155580999965, 0.155
0.30000902119981954, 47.11859408070504, 0.16
0.30034488740848697, 49.44103258041012, 0.165
0.3007265535546998, 52.0801672391659, 0.17
0.29973283369765125, 54.29972936400541, 0.175
0.30009923319801535, 56.83329863641095, 0.18
0.3004961659900768, 59.57799868151695, 0.185
0.2995635127164221, 62.21982235175741, 0.19
0.29994517886263505, 64.85895701051317, 0.195
0.3003573783005449, 67.70922244196939, 0.20
0.2994705249644357, 70.66774227126054, 0.205
0.29991325769404253, 73.72913847541723, 0.21
0.30035599042364947, 76.79053467957392, 0.215
0.300875056382499, 80.37975781548175, 0.22
0.29998820304638985, 83.33827764477292, 0.225
