Temperature(kK), Pressure(GPa), eta
0.3006124965012906, 1.2947331666434252, 0.005
0.3004102968309882, 2.9305846659633517, 0.01
0.3002754970507868, 4.021152332176641, 0.015
0.3001002573365249, 5.438890298253895, 0.02
0.29988457768820254, 7.183798564195129, 0.025
0.2997093379739406, 8.601536530272398, 0.03
0.3008671183083377, 10.345883130462795, 0.035
0.3006514386600154, 12.090791396404043, 0.04
0.2990757790069938, 13.727204561474792, 0.045
0.29884661938065127, 15.581169594037362, 0.05
0.29997743975900804, 17.54362972747043, 0.055
0.2997078401986051, 19.724765059896995, 0.06
0.2994921605502826, 21.46967332583823,0.065
0.2992360409678999, 23.541751891643457, 0.07
0.3003129414341763, 25.940439091561828, 0.075
0.3000568218517933, 28.012517657367056, 0.08
0.2997737423133702, 30.30270975641494, 0.085
0.2994771827969269, 32.70195862208415, 0.09
0.30056756324122347, 34.9915890553812, 0.095
0.3002440437687398, 37.60895145429306, 0.1
0.29994748425229656, 40.008200319962285, 0.105
0.30097046480649225, 42.84311458636596, 0.11
0.3006199853779684, 45.67859051852048, 0.115
0.30026950594944457, 48.514066450674996, 0.12
0.2999055465429007, 51.45859914945085, 0.125
0.2995415871363567, 54.40313184822669, 0.13
0.3005106477784717, 57.67427318111569, 0.135
0.3001197284158874, 60.83691941313418, 0.14
0.2996748891412223, 64.43579271163802, 0.145
0.3006169898272971, 67.92504757776966, 0.15
0.3001856305306526, 71.41486410965214, 0.155
0.2997273112779675, 75.1227941747773, 0.16
0.300642452008002, 78.83016257415159, 0.165
0.3001571727992767, 82.7562061725194, 0.17
0.29967189359055135, 86.6822497708872, 0.175
0.30053311440850516, 90.8258452367468, 0.18
